,id,rem_diz,rem_evro,rem_kosm,rooms_size,balcony,logia,dvor_view,street_view,merged_toilet,split_toilet,kids_allowed,pets_allowed,furn_in_rooms,furn_at_kitchen,bath,shower,washing,aircon,dishwaser,tv,freezer,internet,phone,ceiling_height,pass_lift,gruz_lift,trashprovod,link
5702,274898161,0.0,0.0,1.0,11.899999999999999,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274898161
5703,266771370,0.0,0.0,1.0,27.0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,2.6,1,0,0,https://www.cian.ru/rent/flat/266771370
5704,274782860,0.0,0.0,1.0,32.0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,2.7,2,0,1,https://www.cian.ru/rent/flat/274782860
5705,274633363,0.0,1.0,0.0,42.0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274633363
5706,272525375,1.0,0.0,0.0,18.0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,2.64,1,1,1,https://www.cian.ru/rent/flat/272525375
5707,274311987,0.0,1.0,0.0,33.04,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274311987
5708,274047060,0.0,0.0,1.0,13.0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2.64,4,4,1,https://www.cian.ru/rent/flat/274047060
5709,273821492,0.0,1.0,0.0,32.0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,2.7,1,1,1,https://www.cian.ru/rent/flat/273821492
5710,274108478,0.0,1.0,0.0,20.0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2.8,2,1,1,https://www.cian.ru/rent/flat/274108478
5711,273434885,0.0,1.0,0.0,45.0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,2.64,1,1,1,https://www.cian.ru/rent/flat/273434885
5712,274866765,0.0,1.0,0.0,20.0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2.64,1,1,1,https://www.cian.ru/rent/flat/274866765
